Date,Asset,Adjusted Close
2021-10-01,Reliance Industries,1143.0289306640625
2021-10-04,Reliance Industries,1157.7261962890625
2021-10-05,Reliance Industries,1181.75341796875
2021-10-06,Reliance Industries,1159.402099609375
2021-10-07,Reliance Industries,1165.0860595703125
2021-10-08,Reliance Industries,1209.85693359375
2021-10-11,Reliance Industries,1201.4327392578125
2021-10-12,Reliance Industries,1208.29443359375
2021-10-13,Reliance Industries,1220.5911865234375
2021-10-14,Reliance Industries,1223.0594482421875
2021-10-18,Reliance Industries,1226.3206787109375
2021-10-19,Reliance Industries,1237.3037109375
2021-10-20,Reliance Industries,1223.0594482421875
2021-10-21,Reliance Industries,1187.7772216796875
2021-10-22,Reliance Industries,1189.99658203125
2021-10-25,Reliance Industries,1178.4017333984375
2021-10-26,Reliance Industries,1205.237060546875
2021-10-27,Reliance Industries,1189.99658203125
2021-10-28,Reliance Industries,1176.9525146484375
2021-10-29,Reliance Industries,1148.712890625
2021-11-01,Reliance Industries,1149.4150390625
2021-11-02,Reliance Industries,1132.6571044921875
2021-11-03,Reliance Industries,1124.8670654296875
2021-11-04,Reliance Industries,1131.77392578125
2021-11-08,Reliance Industries,1133.1781005859375
2021-11-09,Reliance Industries,1142.1231689453125
2021-11-10,Reliance Industries,1154.8955078125
2021-11-11,Reliance Industries,1157.00146484375
2021-11-12,Reliance Industries,1174.4613037109375
2021-11-15,Reliance Industries,1167.5318603515625
2021-11-16,Reliance Industries,1140.402099609375
2021-11-17,Reliance Industries,1115.9898681640625
2021-11-18,Reliance Industries,1120.2017822265625
2021-11-22,Reliance Industries,1070.5848388671875
2021-11-23,Reliance Industries,1080.59423828125
2021-11-24,Reliance Industries,1064.9913330078125
2021-11-25,Reliance Industries,1129.1016845703125
2021-11-26,Reliance Industries,1092.709716796875
2021-11-29,Reliance Industries,1105.799072265625
2021-11-30,Reliance Industries,1089.44873046875
2021-12-01,Reliance Industries,1117.3486328125
2021-12-02,Reliance Industries,1124.52734375
2021-12-03,Reliance Industries,1090.739501953125
2021-12-06,Reliance Industries,1070.06396484375
2021-12-07,Reliance Industries,1078.782470703125
2021-12-08,Reliance Industries,1095.2008056640625
2021-12-09,Reliance Industries,1112.5703125
2021-12-10,Reliance Industries,1113.702392578125
2021-12-13,Reliance Industries,1091.37353515625
2021-12-14,Reliance Industries,1078.0125732421875
2021-12-15,Reliance Industries,1074.8648681640625
2021-12-16,Reliance Industries,1088.769287109375
2021-12-17,Reliance Industries,1060.03173828125
2021-12-20,Reliance Industries,1031.45263671875
2021-12-21,Reliance Industries,1046.8065185546875
2021-12-22,Reliance Industries,1071.64892578125
2021-12-23,Reliance Industries,1071.26416015625
2021-12-24,Reliance Industries,1074.6837158203125
2021-12-27,Reliance Industries,1073.5286865234375
2021-12-28,Reliance Industries,1086.2783203125
2021-12-29,Reliance Industries,1088.13525390625
2021-12-30,Reliance Industries,1068.4786376953125
2021-12-31,Reliance Industries,1072.577392578125
2022-01-03,Reliance Industries,1088.74658203125
2022-01-04,Reliance Industries,1113.3173828125
2022-01-05,Reliance Industries,1118.5260009765625
2022-01-06,Reliance Industries,1094.4761962890625
2022-01-07,Reliance Industries,1103.30810546875
2022-01-10,Reliance Industries,1104.2138671875
2022-01-11,Reliance Industries,1112.16259765625
2022-01-12,Reliance Industries,1141.851318359375
2022-01-13,Reliance Industries,1148.28271484375
2022-01-14,Reliance Industries,1149.9586181640625
2022-01-17,Reliance Industries,1155.959716796875
2022-01-18,Reliance Industries,1142.16845703125
2022-01-19,Reliance Industries,1142.0777587890625
2022-01-20,Reliance Industries,1122.08154296875
2022-01-21,Reliance Industries,1122.2628173828125
2022-01-24,Reliance Industries,1076.9935302734375
2022-01-25,Reliance Industries,1074.8875732421875
2022-01-27,Reliance Industries,1058.96728515625
2022-01-28,Reliance Industries,1057.9482421875
2022-01-31,Reliance Industries,1080.933837890625
2022-02-01,Reliance Industries,1077.3558349609375
2022-02-02,Reliance Industries,1079.552490234375
2022-02-03,Reliance Industries,1065.6025390625
2022-02-04,Reliance Industries,1055.8873291015625
2022-02-07,Reliance Industries,1049.4561767578125
2022-02-08,Reliance Industries,1067.0972900390625
2022-02-09,Reliance Industries,1079.52978515625
2022-02-10,Reliance Industries,1078.420166015625
2022-02-11,Reliance Industries,1076.314208984375
2022-02-14,Reliance Industries,1059.171142578125
2022-02-15,Reliance Industries,1095.1329345703125
2022-02-16,Reliance Industries,1092.8682861328125
2022-02-17,Reliance Industries,1106.704833984375
2022-02-18,Reliance Industries,1098.05419921875
2022-02-21,Reliance Industries,1086.957763671875
2022-02-22,Reliance Industries,1082.0208740234375
2022-02-23,Reliance Industries,1075.249755859375
2022-02-24,Reliance Industries,1021.6695556640625
2022-02-25,Reliance Industries,1034.44189453125
2022-02-28,Reliance Industries,1068.682373046875
2022-03-02,Reliance Industries,1086.3463134765625
2022-03-03,Reliance Industries,1077.1748046875
2022-03-04,Reliance Industries,1053.283447265625
2022-03-07,Reliance Industries,1014.3323974609375
2022-03-08,Reliance Industries,1012.4979248046875
2022-03-09,Reliance Industries,1066.214111328125
2022-03-10,Reliance Industries,1083.4927978515625
2022-03-11,Reliance Industries,1086.6180419921875
2022-03-14,Reliance Industries,1095.5404052734375
2022-03-15,Reliance Industries,1070.4488525390625
2022-03-16,Reliance Industries,1088.520263671875
2022-03-17,Reliance Industries,1124.006591796875
2022-03-21,Reliance Industries,1117.52978515625
2022-03-22,Reliance Industries,1146.4033203125
2022-03-23,Reliance Industries,1150.049072265625
2022-03-24,Reliance Industries,1167.916748046875
2022-03-25,Reliance Industries,1175.7069091796875
2022-03-28,Reliance Industries,1187.528076171875
2022-03-29,Reliance Industries,1187.7999267578125
2022-03-30,Reliance Industries,1210.6270751953125
2022-03-31,Reliance Industries,1193.3255615234375
2022-04-01,Reliance Industries,1202.8819580078125
2022-04-04,Reliance Industries,1206.4375
2022-04-05,Reliance Industries,1189.3851318359375
2022-04-06,Reliance Industries,1186.2147216796875
2022-04-07,Reliance Industries,1165.2899169921875
2022-04-08,Reliance Industries,1184.6748046875
2022-04-11,Reliance Industries,1182.2064208984375
2022-04-12,Reliance Industries,1159.945556640625
2022-04-13,Reliance Industries,1155.6878662109375
2022-04-18,Reliance Industries,1152.1552734375
2022-04-19,Reliance Industries,1196.0655517578125
2022-04-20,Reliance Industries,1231.234619140625
2022-04-21,Reliance Industries,1260.06298828125
2022-04-22,Reliance Industries,1249.509765625
2022-04-25,Reliance Industries,1220.61376953125
2022-04-26,Reliance Industries,1257.1416015625
2022-04-27,Reliance Industries,1258.364501953125
2022-04-28,Reliance Industries,1277.1607666015625
2022-04-29,Reliance Industries,1263.7542724609375
2022-05-02,Reliance Industries,1259.315673828125
2022-05-04,Reliance Industries,1220.0023193359375
2022-05-05,Reliance Industries,1196.1109619140625
2022-05-06,Reliance Industries,1186.9393310546875
2022-05-09,Reliance Industries,1140.5831298828125
2022-05-10,Reliance Industries,1120.813232421875
2022-05-11,Reliance Industries,1109.331787109375
2022-05-12,Reliance Industries,1086.731201171875
2022-05-13,Reliance Industries,1099.050537109375
2022-05-16,Reliance Industries,1099.3223876953125
2022-05-17,Reliance Industries,1145.4974365234375
2022-05-18,Reliance Industries,1149.664306640625
2022-05-19,Reliance Industries,1123.16845703125
2022-05-20,Reliance Industries,1188.660400390625
2022-05-23,Reliance Industries,1180.7117919921875
2022-05-24,Reliance Industries,1184.765380859375
2022-05-25,Reliance Industries,1183.0216064453125
2022-05-26,Reliance Industries,1171.7440185546875
2022-05-27,Reliance Industries,1166.3089599609375
2022-05-30,Reliance Industries,1206.935791015625
2022-05-31,Reliance Industries,1192.3743896484375
2022-06-01,Reliance Industries,1192.75927734375
2022-06-02,Reliance Industries,1233.88427734375
2022-06-03,Reliance Industries,1258.8853759765625
2022-06-06,Reliance Industries,1253.47314453125
2022-06-07,Reliance Industries,1255.828125
2022-06-08,Reliance Industries,1233.7711181640625
2022-06-09,Reliance Industries,1267.6038818359375
2022-06-10,Reliance Industries,1229.3326416015625
2022-06-13,Reliance Industries,1206.0751953125
2022-06-14,Reliance Industries,1190.3134765625
2022-06-15,Reliance Industries,1175.9107666015625
2022-06-16,Reliance Industries,1159.4698486328125
2022-06-17,Reliance Industries,1173.057373046875
2022-06-20,Reliance Industries,1151.7928466796875
2022-06-21,Reliance Industries,1170.38525390625
2022-06-22,Reliance Industries,1134.8311767578125
2022-06-23,Reliance Industries,1116.4200439453125
2022-06-24,Reliance Industries,1132.3175048828125
2022-06-27,Reliance Industries,1128.9656982421875
2022-06-28,Reliance Industries,1144.840576171875
2022-06-29,Reliance Industries,1168.59619140625
2022-06-30,Reliance Industries,1175.616455078125
2022-07-01,Reliance Industries,1090.943359375
2022-07-04,Reliance Industries,1093.2080078125
2022-07-05,Reliance Industries,1102.0625
2022-07-06,Reliance Industries,1092.3699951171875
2022-07-07,Reliance Industries,1081.61328125
2022-07-08,Reliance Industries,1083.1080322265625
2022-07-11,Reliance Industries,1097.8277587890625
2022-07-12,Reliance Industries,1096.2650146484375
2022-07-13,Reliance Industries,1076.8350830078125
2022-07-14,Reliance Industries,1085.7122802734375
2022-07-15,Reliance Industries,1087.8182373046875
2022-07-18,Reliance Industries,1097.08056640625
2022-07-19,Reliance Industries,1103.8065185546875
2022-07-20,Reliance Industries,1133.653564453125
2022-07-21,Reliance Industries,1126.0899658203125
2022-07-22,Reliance Industries,1133.698974609375
2022-07-25,Reliance Industries,1096.242431640625
2022-07-26,Reliance Industries,1096.7408447265625
2022-07-27,Reliance Industries,1095.6990966796875
2022-07-28,Reliance Industries,1112.86474609375
2022-07-29,Reliance Industries,1136.57470703125
2022-08-01,Reliance Industries,1166.1956787109375
2022-08-02,Reliance Industries,1170.6341552734375
2022-08-03,Reliance Industries,1180.462646484375
2022-08-04,Reliance Industries,1164.8594970703125
2022-08-05,Reliance Industries,1147.694091796875
2022-08-08,Reliance Industries,1162.708251953125
2022-08-10,Reliance Industries,1169.6605224609375
2022-08-11,Reliance Industries,1173.5556640625
2022-08-12,Reliance Industries,1192.5328369140625
2022-08-16,Reliance Industries,1200.8211669921875
2022-08-17,Reliance Industries,1207.0941162109375
2022-08-18,Reliance Industries,1209.2833251953125
2022-08-19,Reliance Industries,1187.72216796875
2022-08-22,Reliance Industries,1184.427734375
2022-08-23,Reliance Industries,1202.6944580078125
2022-08-24,Reliance Industries,1199.490966796875
2022-08-25,Reliance Industries,1195.9920654296875
2022-08-26,Reliance Industries,1189.60791015625
2022-08-29,Reliance Industries,1180.3609619140625
2022-08-30,Reliance Industries,1198.673095703125
2022-09-01,Reliance Industries,1163.4346923828125
2022-09-02,Reliance Industries,1149.84814453125
2022-09-05,Reliance Industries,1167.7060546875
2022-09-06,Reliance Industries,1179.9974365234375
2022-09-07,Reliance Industries,1173.135986328125
2022-09-08,Reliance Industries,1174.79443359375
2022-09-09,Reliance Industries,1167.478759765625
2022-09-12,Reliance Industries,1180.542724609375
2022-09-13,Reliance Industries,1190.4029541015625
2022-09-14,Reliance Industries,1176.135009765625
2022-09-15,Reliance Industries,1164.479736328125
2022-09-16,Reliance Industries,1135.625732421875
2022-09-19,Reliance Industries,1137.1024169921875
2022-09-20,Reliance Industries,1137.2841796875
2022-09-21,Reliance Industries,1140.4197998046875
2022-09-22,Reliance Industries,1129.673095703125
2022-09-23,Reliance Industries,1108.498291015625
2022-09-26,Reliance Industries,1080.2574462890625
2022-09-27,Reliance Industries,1088.8455810546875
2022-09-28,Reliance Industries,1059.855224609375
2022-09-29,Reliance Industries,1056.6063232421875
2022-09-30,Reliance Industries,1080.4393310546875
2022-10-03,Reliance Industries,1076.690673828125
2022-10-04,Reliance Industries,1096.5474853515625
2022-10-06,Reliance Industries,1100.591796875
2022-10-07,Reliance Industries,1105.249267578125
2022-10-10,Reliance Industries,1093.18505859375
2022-10-11,Reliance Industries,1071.4195556640625
2022-10-12,Reliance Industries,1079.3033447265625
2022-10-13,Reliance Industries,1082.7340087890625
2022-10-14,Reliance Industries,1077.2357177734375
2022-10-17,Reliance Industries,1094.5255126953125
2022-10-18,Reliance Industries,1113.8372802734375
2022-10-19,Reliance Industries,1133.21728515625
2022-10-20,Reliance Industries,1136.261962890625
2022-10-21,Reliance Industries,1123.0843505859375
2022-10-24,Reliance Industries,1126.8331298828125
2022-10-25,Reliance Industries,1109.4298095703125
2022-10-27,Reliance Industries,1113.7919921875
2022-10-28,Reliance Industries,1147.8717041015625
2022-10-31,Reliance Industries,1158.5272216796875
2022-11-01,Reliance Industries,1149.552978515625
2022-11-02,Reliance Industries,1156.7322998046875
2022-11-03,Reliance Industries,1161.0491943359375
2022-11-04,Reliance Industries,1178.1343994140625
2022-11-07,Reliance Industries,1184.427734375
2022-11-09,Reliance Industries,1183.246337890625
2022-11-10,Reliance Industries,1168.9329833984375
2022-11-11,Reliance Industries,1195.878662109375
2022-11-14,Reliance Industries,1190.0850830078125
2022-11-15,Reliance Industries,1184.7457275390625
2022-11-16,Reliance Industries,1177.95263671875
2022-11-17,Reliance Industries,1180.9971923828125
2022-11-18,Reliance Industries,1180.3609619140625
2022-11-21,Reliance Industries,1159.1180419921875
2022-11-22,Reliance Industries,1165.547607421875
2022-11-23,Reliance Industries,1161.9124755859375
2022-11-24,Reliance Industries,1171.9320068359375
2022-11-25,Reliance Industries,1189.4261474609375
2022-11-28,Reliance Industries,1230.299072265625
2022-11-29,Reliance Industries,1232.4119873046875
2022-11-30,Reliance Industries,1241.1136474609375
2022-12-01,Reliance Industries,1237.455810546875
2022-12-02,Reliance Industries,1236.9332275390625
2022-12-05,Reliance Industries,1218.8936767578125
2022-12-06,Reliance Industries,1222.415283203125
2022-12-07,Reliance Industries,1204.375732421875
2022-12-08,Reliance Industries,1203.8077392578125
2022-12-09,Reliance Industries,1185.5638427734375
2022-12-12,Reliance Industries,1187.3812255859375
2022-12-13,Reliance Industries,1192.7886962890625
